MRIEMR_r,RuleGO,DTHF
1.0,1.0,0.42
1.0,1.0,0.42
1.0,1.0,0.42
1.0,1.0,0.42
1.0,1.0,0.42
1.0,1.0,0.42
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.48
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.96
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,0.56
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.72
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
0.89,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.49
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.9207920792079208,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.9207920792079208,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.9207920792079208,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
0.9207920792079208,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.9207920792079208,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
0.9207920792079208,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
0.8910891089108911,1.0,0.8514851485148515
1.0,1.0,0.8514851485148515
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,0.94
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,0.12
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
0.58,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
0.62,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
0.58,1.0,0.64
1.0,1.0,0.64
0.58,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
0.58,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
0.48,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
1.0,1.0,0.64
0.96,1.0,0.6
0.58,1.0,0.6
0.96,1.0,0.6
0.95,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
1.0,1.0,0.6
0.96,1.0,0.6
0.51,1.0,0.6
1.0,1.0,0.6
0.94,1.0,0.6
0.96,1.0,0.6
0.44,1.0,0.6
0.94,1.0,0.6
0.96,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.96,1.0,0.6
1.0,1.0,0.6
0.56,1.0,0.6
0.94,1.0,0.6
1.0,1.0,0.6
0.94,1.0,0.6
0.96,1.0,0.6
0.96,1.0,0.6
0.44,1.0,0.6
0.56,1.0,0.6
0.58,1.0,0.6
0.94,1.0,0.6
1.0,1.0,0.6
0.96,1.0,0.6
0.94,1.0,0.6
0.96,1.0,0.6
0.94,1.0,0.6
0.53,1.0,0.6
1.0,1.0,0.6
0.96,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.64,1.0,0.6
1.0,1.0,0.6
0.96,1.0,0.6
0.94,1.0,0.6
0.94,1.0,0.6
0.4,1.0,0.6
0.96,1.0,0.6
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
0.49,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
0.49,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
1.0,1.0,0.86
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
1.0,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
1.0,0.82,1.0
1.0,0.82,1.0
0.5,0.82,1.0
0.5,0.82,1.0
1.0,1.0,1.0
0.72,1.0,1.0
1.0,1.0,1.0
0.72,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
0.72,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.72,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
0.47,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
0.47,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.5,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
0.55,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.47,1.0,1.0
1.0,1.0,1.0
0.55,1.0,1.0
0.66,1.0,0.61
0.86,1.0,0.61
0.65,1.0,0.61
0.69,1.0,0.61
0.66,1.0,0.61
0.71,1.0,0.61
0.86,1.0,0.61
0.62,1.0,0.61
0.66,1.0,0.61
0.86,1.0,0.61
0.62,1.0,0.61
0.47,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.86,1.0,0.61
0.69,1.0,0.61
0.61,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.69,1.0,0.61
0.86,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.64,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.71,1.0,0.61
0.66,1.0,0.61
0.66,1.0,0.61
0.86,1.0,0.61
0.86,1.0,0.61
0.71,1.0,0.61
0.61,1.0,0.61
0.66,1.0,0.61
0.86,1.0,0.61
